1478931701.000000, 1478931701.000000, 1478931701.000000
32.000000, 32.000000, 32.000000
-63,-9,2
-64,-9,-1
-64,-10,-4
-67,-11,-4
-68,-10,-4
-56,-11,9
-61,-11,9
-60,-8,19
-57,-7,20
-65,-8,10
-68,-8,8
-66,-9,4
-62,-9,3
-63,-10,5
-67,-10,8
-65,-11,8
-64,-11,6
-61,-11,9
-73,-8,8
-69,-9,11
-61,-8,21
-58,-3,30
-47,-6,41
-32,-10,48
-29,-11,53
-24,-14,55
-21,-16,51
-24,-17,54
-26,-17,58
-27,-15,56
-31,-13,54
-34,-12,53
-36,-13,52
-35,-15,52
-37,-16,49
-36,-16,49
-36,-15,48
-37,-15,51
-35,-15,51
-34,-14,49
-34,-14,50
-35,-14,52
-35,-15,50
-35,-14,50
-35,-15,50
-37,-14,49
-37,-14,50
-35,-13,51
-34,-13,52
-34,-13,53
-34,-13,52
-36,-12,50
-37,-12,50
-36,-13,50
-35,-13,49
-37,-14,48
-38,-14,49
-39,-13,51
-38,-12,49
-38,-12,48
-36,-13,49
-37,-13,49
-37,-13,48
-37,-12,49
-39,-13,48
-40,-13,47
-43,-13,46
-43,-14,45
-39,-14,41
-44,-12,40
-46,-13,45
-50,-12,43
-46,-11,40
-51,-11,36
-48,-9,28
-47,-9,25
-64,-7,22
-62,-5,28
-60,-3,32
-59,1,29
-60,-3,18
-60,-1,18
-69,-4,15
-63,-4,12
-61,-3,10
-66,1,8
-67,-2,6
-63,0,7
-63,1,8
-67,-1,7
-65,0,9
-64,1,4
-64,0,3
-58,3,0
-63,1,-7
-69,2,-6
-68,1,-5
-62,-2,-12
-64,-1,-15
-66,0,-14
-65,1,-15
-63,-1,-16
-62,-1,-16
-64,-1,-12
-64,-1,-13
-61,-2,-14
-58,-2,-13
-62,-1,-11
-68,-2,-15
-68,-2,-18
-66,-2,-22
-68,-3,-23
-60,-4,-16
-57,-6,-11
-62,-3,-6
-60,-3,-3
-64,-5,-1
-64,-6,-3
-60,-4,-2
-64,-6,-2
-77,-3,-4
-75,0,-3
-59,4,12
-48,2,25
-56,-2,30
-50,0,37
-57,-4,29
-50,-7,32
-46,0,41
-31,6,56
-23,4,58
-23,5,54
-18,9,61
-10,14,75
-11,13,69
-15,9,58
-16,7,57
-19,6,60
-20,5,60
-24,5,56
-25,5,57
-28,7,60
-26,6,57
-23,5,55
-20,5,55
-28,7,56
-26,9,58
-23,6,53
-28,7,51
-36,10,53
-44,11,48
-48,10,43
-56,12,38
-59,11,37
-52,10,37
-54,11,36
-54,9,36
-51,10,35
-53,9,34
-46,10,40
-53,11,39
-52,10,34
-50,10,37
-52,11,40
-47,11,42
-46,11,41
-49,12,40
-50,11,40
-50,10,38
-50,10,38
-51,9,36
-51,10,35
-53,9,35
-52,9,36
-51,9,37
-52,10,37
-50,9,36
-50,9,37
-50,9,38
-48,9,39
-48,10,40
-49,11,40
-49,11,40
-50,11,40
-50,10,39
-51,10,40
-51,10,39
-51,11,37
-49,10,37
-50,9,37
-50,9,37
-50,8,37
-50,8,39
-50,9,39
-49,9,39
-49,10,39
-50,11,39
-50,11,39
-51,11,38
-50,11,39
-50,10,38
-50,10,38
-51,10,38
-51,10,39
-50,8,38
-50,7,37
-51,8,36
-47,9,38
-56,9,35
-55,10,35
-53,8,35
-51,8,36
-53,9,35
-53,8,35
-53,9,35
-53,9,35
-53,10,35
-53,9,35
-53,9,36
-52,8,36
-52,8,36
-52,8,35
-52,8,35
-53,9,35
-52,9,35
-53,9,35
-53,9,35
-52,10,35
-52,10,35
-52,10,35
-53,10,35
-54,9,35
-53,9,35
-52,9,34
-53,9,33
-53,9,34
-53,10,34
-54,10,34
-54,9,35
-53,9,35
-53,9,35
-52,9,35
-52,10,35
-52,10,34
-54,9,35
-54,9,34
-54,9,34
-54,9,33
-53,10,33
-52,9,34
-53,9,34
-53,9,34
-53,9,34
-53,9,34
-53,10,34
-53,10,34
-53,10,34
-53,10,34
-53,10,35
-53,9,34
-53,9,34
-53,9,34
-53,9,34
-53,9,35
-53,9,34
-53,9,34
-52,9,34
-53,9,34
-53,9,34
-53,9,35
-53,9,34
-53,9,35
-53,9,34
-54,9,34
-53,9,34
-53,9,34
-53,9,34
-52,9,34
-53,9,34
-53,9,35
-54,9,34
-52,9,35
-54,9,35
-52,10,35
-52,9,35
-53,10,35
-53,9,34
-53,9,35
-53,9,35
-54,10,35
-53,10,34
-52,10,35
-53,10,35
-52,10,35
-53,9,35
-53,10,35
-53,10,35
-53,10,35
-53,10,35
-53,10,34
-52,10,34
-52,9,35
-52,10,35
-53,10,35
-53,10,35
-54,10,35
-53,11,35
-52,11,34
-52,10,35
-53,10,35
-54,10,35
-53,10,35
-53,10,34
-53,10,34
-52,11,35
-48,11,36
-47,12,37
-50,12,36
-54,12,33
-59,10,22
-65,7,13
-68,6,2
-66,5,-5
-63,0,-19
-61,-1,-21
-64,-4,-23
-61,-5,-21
-64,-5,-18
-63,-2,-14
-62,1,-8
-64,3,-5
-66,2,-3
-63,0,-1
-62,0,0
-65,0,0
-63,1,0
-67,2,-1
-66,2,-2
-68,2,-2
-68,2,1
-70,3,-5
-71,5,1
-82,8,4
-66,3,2
-29,6,17
-57,-9,3
-66,-6,5
-66,-6,0
-66,-2,-1
-64,-1,1
-64,3,4
-64,1,5
-68,4,12
-62,0,18
-72,-1,4
-68,-2,4
-61,-3,9
-64,-7,9
-72,-7,0
-52,-5,6
-49,-6,11
-62,-6,12
-65,-3,14
-62,-4,11
-63,-1,8
-63,2,12
-67,-2,8
-62,-3,6
-59,-4,3
-62,-6,0
-62,-5,-1
-68,-5,-11
-71,-5,-15
-68,-3,-8
-65,-1,-3
-56,2,9
-55,0,11
-72,-1,-3
-72,-8,-4
-63,-5,7
-54,-6,24
-64,-9,14
-62,-6,4
-57,-3,8
-66,0,8
-66,-3,4
-59,-4,5
-63,-2,7
-63,-3,13
-69,-5,6
-70,0,6
-52,-5,8
-71,-5,4
-57,-5,4
-61,-7,3
-62,-4,4
-63,-3,6
-66,-1,7
-57,1,13
-67,1,8
-75,0,-1
-52,-5,1
-59,-1,10
-63,-3,4
-61,-3,6
-66,-5,2
-59,0,4
-63,0,7
-64,1,10
-69,-3,-7
